게임 이름	게임 Id	소스			
Mount & Blade: Warband	48700	Steam	73시간 41분	111시간 35분	232시간 33분
Mutazione	1fe19232c0f7476a8e99fd8752e800c2	Epic	6시간 9분	8시간 19분	10시간 44분
Neverwinter Nights: Diamond	1207658890	GOG	71시간 0분	99시간 46분	105시간 0분
NieR:Automata	e79f784f-df20-49ed-b2ae-cf86be5d4439	DRM-free	데이터 없음		
Nobunaga's Ambition: Tendou with Power Up Kit	363110	Steam Japan	데이터 없음		
Oddworld: Abe's Oddysee	15700	Steam	12시간 43분	14시간 25분	14시간 26분
Orwell: Keeping an Eye on You	491950	Steam	4시간 33분	6시간 11분	9시간 39분
Our Adventurer Guild	2026000	Steam	61시간 11분	65시간 36분	66시간 12분
Outer Wilds	753640	Steam	17시간 5분	22시간 42분	28시간 59분
Overcooked	Sage	Epic	7시간 45분	10시간 18분	12시간 4분
Papers, Please	239030	Steam	5시간 1분	8시간 8분	16시간 10분
Party Hard	356570	Steam	6시간 13분	10시간 0분	14시간 8분
Pathfinder: Kingmaker	640820	Steam	76시간 49분	133시간 0분	209시간 0분
Pathfinder: Wrath of the Righteous - Enhanced Edition	1184370	Steam	데이터 없음		
Pathway	8fceb562623c430db9bb6abf0549c43e	Epic	10시간 59분	16시간 57분	37시간 16분
Payday 2	218620	Steam	27시간 4분	154시간 59분	537시간 57분
Persona 5 Royal	1687950	Steam	101시간 16분	122시간 44분	140시간 33분
Phantom Doctrine	559100	Steam	34시간 35분	54시간 18분	113시간 22분
Pillars of Eternity	291650	Steam	36시간 19분	64시간 7분	110시간 44분
Pillars of Eternity II: Deadfire	560130	Steam	41시간 52분	66시간 5분	98시간 16분
Planet Zoo	703080	Steam	34시간 46분	59시간 52분	98시간 19분
Plants vs. Zombies: GOTY Edition	3590	Steam	8시간 11분	17시간 58분	42시간 43분
Please, Don't Touch Anything	354240	Steam	1시간 14분	1시간 56분	2시간 59분
Pleasure Puzzle: Portrait	939620	Steam	데이터 없음		
Point Perfect	303840	Steam	3시간 21분	--	--
Portal 2	620	Steam	8시간 32분	13시간 43분	22시간 31분
